epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9555.59,0.84615,0.80119,1.17497,0.45855,0.37131,0.36222,0.26474,1.12006,1.56234,1.18565,0.005842,0.005842,0.005842
44,9766.28,0.84166,0.79676,1.1742,0.47596,0.36508,0.35751,0.26117,1.1221,1.58865,1.19002,0.005743,0.005743,0.005743
45,9975.31,0.83702,0.77732,1.16729,0.52562,0.36353,0.36903,0.27065,1.11613,1.57377,1.17109,0.005644,0.005644,0.005644
46,10185.8,0.8368,0.77243,1.16752,0.48878,0.36537,0.37459,0.27445,1.12403,1.55835,1.18168,0.005545,0.005545,0.005545
47,10395.5,0.82941,0.7593,1.16389,0.56179,0.36544,0.38073,0.27867,1.11369,1.54632,1.17305,0.005446,0.005446,0.005446
48,10609.9,0.82564,0.74942,1.1601,0.57547,0.35856,0.38129,0.27716,1.12134,1.54915,1.17874,0.005347,0.005347,0.005347
49,10821.5,0.82162,0.73909,1.15536,0.53233,0.38763,0.39169,0.2841,1.11215,1.51974,1.17303,0.005248,0.005248,0.005248
50,11036.9,0.81063,0.72199,1.15361,0.49582,0.39221,0.38866,0.28258,1.11156,1.54171,1.17444,0.005149,0.005149,0.005149
51,11249.9,0.81397,0.71792,1.1532,0.51256,0.37181,0.37551,0.27593,1.12474,1.5802,1.18974,0.00505,0.00505,0.00505
52,11465,0.80523,0.70955,1.146,0.49745,0.38032,0.38331,0.2828,1.1089,1.56719,1.1831,0.004951,0.004951,0.004951
53,11682,0.81142,0.70833,1.14244,0.51565,0.39205,0.38743,0.28404,1.11032,1.54467,1.1899,0.004852,0.004852,0.004852
54,11896.5,0.79249,0.68859,1.14175,0.54643,0.37933,0.39736,0.29071,1.09887,1.54869,1.16587,0.004753,0.004753,0.004753
55,12104.9,0.80252,0.68555,1.143,0.5497,0.37932,0.39385,0.29268,1.09475,1.52064,1.16882,0.004654,0.004654,0.004654
56,12321.1,0.79137,0.67571,1.13176,0.55601,0.39008,0.39812,0.29136,1.10561,1.53309,1.17231,0.004555,0.004555,0.004555
57,12531.2,0.79068,0.6607,1.12745,0.59585,0.37494,0.39359,0.28928,1.09691,1.5494,1.16849,0.004456,0.004456,0.004456
58,12750.8,0.7828,0.66099,1.12942,0.57269,0.39299,0.39683,0.29374,1.08907,1.56986,1.16266,0.004357,0.004357,0.004357
59,12967.1,0.76744,0.64513,1.12259,0.55219,0.38616,0.40009,0.29567,1.08836,1.54642,1.16282,0.004258,0.004258,0.004258
60,13184.4,0.77718,0.63569,1.12185,0.57263,0.38686,0.40152,0.2943,1.08456,1.5562,1.16201,0.004159,0.004159,0.004159
61,13404,0.77278,0.63652,1.11948,0.60046,0.39023,0.40282,0.29709,1.08278,1.54388,1.15984,0.00406,0.00406,0.00406
62,13621.8,0.76711,0.62769,1.11781,0.57747,0.39601,0.39416,0.28907,1.09192,1.5599,1.16804,0.003961,0.003961,0.003961
63,13841.4,0.75793,0.61559,1.11307,0.61058,0.37845,0.39646,0.29201,1.09553,1.58103,1.1737,0.003862,0.003862,0.003862
64,14060.5,0.75611,0.61574,1.10861,0.59547,0.37734,0.39988,0.29646,1.09434,1.56503,1.16378,0.003763,0.003763,0.003763
65,14280.1,0.75312,0.61079,1.10716,0.63139,0.38225,0.40299,0.29594,1.08838,1.55778,1.16712,0.003664,0.003664,0.003664
66,14495.5,0.74671,0.59711,1.10287,0.61645,0.38728,0.40408,0.29672,1.09568,1.57363,1.17359,0.003565,0.003565,0.003565
67,14715.6,0.74482,0.59464,1.10483,0.61342,0.38427,0.40058,0.2941,1.09189,1.58181,1.16789,0.003466,0.003466,0.003466
68,14930.5,0.74336,0.58291,1.09795,0.60739,0.39419,0.41088,0.30061,1.07309,1.56504,1.15131,0.003367,0.003367,0.003367
69,15149.7,0.74585,0.5837,1.10395,0.61793,0.39543,0.41414,0.30367,1.07678,1.56496,1.15271,0.003268,0.003268,0.003268
70,15363.4,0.72901,0.57248,1.09585,0.6315,0.38494,0.41494,0.30424,1.08454,1.57802,1.15787,0.003169,0.003169,0.003169
71,15567,0.71989,0.56331,1.08451,0.6004,0.39405,0.41535,0.30664,1.07674,1.57681,1.15294,0.00307,0.00307,0.00307
72,15770.4,0.72199,0.55301,1.08844,0.55364,0.41384,0.41439,0.30595,1.08136,1.57797,1.15974,0.002971,0.002971,0.002971
73,15974.5,0.71419,0.54846,1.0857,0.608,0.39331,0.40974,0.3044,1.08852,1.58535,1.16638,0.002872,0.002872,0.002872
74,16171.8,0.71291,0.54439,1.0852,0.5899,0.402,0.41108,0.30573,1.08407,1.57193,1.16853,0.002773,0.002773,0.002773
75,16384,0.70888,0.54129,1.07864,0.61263,0.39556,0.41257,0.30516,1.08404,1.57868,1.16526,0.002674,0.002674,0.002674
76,16589.3,0.70976,0.53867,1.08045,0.59211,0.40686,0.41275,0.30484,1.08184,1.59945,1.16513,0.002575,0.002575,0.002575
77,16790.8,0.70213,0.52635,1.07602,0.56928,0.4066,0.41355,0.30717,1.07829,1.58246,1.16548,0.002476,0.002476,0.002476
78,16992.3,0.69208,0.51769,1.06729,0.55898,0.4074,0.41502,0.30811,1.07929,1.59055,1.16727,0.002377,0.002377,0.002377
79,17193.1,0.69173,0.52227,1.07014,0.62005,0.39663,0.41641,0.30841,1.0739,1.58733,1.16269,0.002278,0.002278,0.002278
80,17394,0.68896,0.51909,1.07121,0.64569,0.39649,0.41755,0.30988,1.0758,1.59418,1.16375,0.002179,0.002179,0.002179
81,17594.3,0.68523,0.5084,1.06212,0.60791,0.40381,0.42117,0.3121,1.07511,1.60421,1.16615,0.00208,0.00208,0.00208
82,17794.7,0.68262,0.50602,1.06284,0.60262,0.40568,0.42027,0.31161,1.0742,1.60535,1.16561,0.001981,0.001981,0.001981
83,17994.8,0.67898,0.50299,1.05745,0.5944,0.40754,0.41979,0.3111,1.06918,1.6004,1.16285,0.001882,0.001882,0.001882
84,18194.8,0.67785,0.49327,1.05595,0.60511,0.40556,0.42075,0.31211,1.07161,1.59959,1.16435,0.001783,0.001783,0.001783
85,18399.4,0.67301,0.49304,1.05211,0.57723,0.41026,0.42026,0.31191,1.07001,1.6047,1.16305,0.001684,0.001684,0.001684
86,18600.4,0.66882,0.48492,1.05165,0.59451,0.41828,0.42482,0.31445,1.06805,1.6019,1.15998,0.001585,0.001585,0.001585
87,18801.1,0.66566,0.48342,1.04845,0.59851,0.41843,0.42696,0.31599,1.06732,1.60352,1.15884,0.001486,0.001486,0.001486
88,19002,0.65014,0.47324,1.04457,0.59684,0.41902,0.42769,0.3164,1.06837,1.60793,1.15822,0.001387,0.001387,0.001387
89,19202.1,0.65346,0.46846,1.0444,0.60313,0.4146,0.42663,0.31619,1.06879,1.61512,1.1572,0.001288,0.001288,0.001288
90,19402.6,0.65659,0.46976,1.04489,0.61398,0.4136,0.42656,0.3165,1.06711,1.61846,1.15836,0.001189,0.001189,0.001189
91,19648,0.62836,0.41016,0.9942,0.60648,0.41793,0.42802,0.31601,1.06638,1.61789,1.15904,0.00109,0.00109,0.00109
92,19848,0.61328,0.38785,0.98714,0.63607,0.41629,0.42915,0.31712,1.06678,1.62542,1.16203,0.000991,0.000991,0.000991
93,20047.1,0.60688,0.37894,0.98002,0.63451,0.41354,0.42892,0.31759,1.06453,1.62913,1.16336,0.000892,0.000892,0.000892
94,20246.3,0.59829,0.37162,0.97061,0.65189,0.41356,0.428,0.31735,1.06346,1.63351,1.1642,0.000793,0.000793,0.000793
95,20445.3,0.59318,0.36588,0.97382,0.64667,0.41457,0.42796,0.31674,1.06341,1.64067,1.16654,0.000694,0.000694,0.000694
96,20644.9,0.58754,0.36426,0.96841,0.6499,0.41235,0.42613,0.31697,1.06349,1.64536,1.16995,0.000595,0.000595,0.000595
97,20843.1,0.58436,0.35744,0.96711,0.6416,0.41594,0.42647,0.31689,1.06423,1.65079,1.17339,0.000496,0.000496,0.000496
98,21041.3,0.58009,0.35619,0.96562,0.63897,0.41573,0.42743,0.31724,1.06445,1.65552,1.17354,0.000397,0.000397,0.000397
99,21240.2,0.57316,0.34768,0.95758,0.64478,0.41301,0.42746,0.31747,1.06383,1.66214,1.17329,0.000298,0.000298,0.000298
100,21437.9,0.57406,0.34758,0.95954,0.64114,0.41399,0.42816,0.31904,1.06341,1.66536,1.17358,0.000199,0.000199,0.000199
